Year,Month,Day,Data,tmmn(degC),tmmx(degC),pr(mm),rmin(%),rmax(%),vs(mps),vpd(kPa),flood
1987,4,23,4/23/1987,9.65,27.85,0,26,80.1,2.7,1.39,FALSE
1987,4,24,4/24/1987,8.35,24.15,0,29.3,84,5.1,0.98,FALSE
1987,4,25,4/25/1987,11.85,25.25,0,36.9,81.1,4.1,1.21,FALSE
1987,4,26,4/26/1987,7.25,28.75,0,29.3,77,2.1,1.44,FALSE
1987,4,27,4/27/1987,12.25,33.35,0,29.1,73.3,2.6,1.92,FALSE
1987,4,28,4/28/1987,12.15,28.85,0,27.6,82.3,3.6,1.51,FALSE
1987,4,29,4/29/1987,9.05,30.55,0,27.3,68.6,2.1,1.68,FALSE
1987,4,30,4/30/1987,10.55,31.85,0,27.5,79.6,3.5,1.6,FALSE
1987,5,1,5/1/1987,10.65,30.95,0,29.9,100,3.5,1.27,FALSE
1987,5,2,5/2/1987,14.25,27.15,30.2,40.9,100,3.9,0.53,FALSE
1987,5,3,5/3/1987,16.45,30.95,4.6,46.8,100,4.7,0.95,FALSE
1987,5,4,5/4/1987,15.55,30.75,6.7,43.4,100,1.9,0.98,FALSE
1987,5,5,5/5/1987,18.75,28.95,14.1,45.7,100,1.3,0.82,FALSE
1987,5,6,5/6/1987,17.95,28.35,14.1,50.6,100,1.1,0.73,FALSE
1987,5,7,5/7/1987,17.35,27.65,0.7,50.2,100,1.2,0.75,FALSE
1987,5,8,5/8/1987,16.95,28.95,0,41.4,100,1.9,1.05,FALSE
1987,5,9,5/9/1987,12.65,29.65,1.5,37.1,100,2.6,1.11,FALSE
1987,5,10,5/10/1987,15.95,25.85,15.4,40.4,100,2.6,0.58,FALSE
1987,5,11,5/11/1987,15.65,28.05,0,54.9,100,1.7,0.63,FALSE
1987,5,12,5/12/1987,17.55,29.25,0.3,52.9,100,1.2,0.82,FALSE
1987,5,13,5/13/1987,18.65,28.55,12.7,50.6,100,1.7,0.79,FALSE
1987,5,14,5/14/1987,18.35,29.05,4.6,52.4,100,1.1,0.8,FALSE
1987,5,15,5/15/1987,18.75,29.05,3.1,51.7,100,1.7,0.82,FALSE
1987,5,16,5/16/1987,18.45,29.45,2.4,54.1,100,2.4,0.8,FALSE
1987,5,17,5/17/1987,18.25,29.15,0.7,51.9,100,3.4,0.75,FALSE
1987,5,18,5/18/1987,18.45,30.55,0.5,55.9,100,3.3,0.69,FALSE
1987,5,19,5/19/1987,19.95,32.75,0,47.9,100,3.3,1.03,FALSE
1987,5,20,5/20/1987,20.65,33.05,0,45.3,100,3.1,1.19,FALSE
1987,5,21,5/21/1987,20.85,33.15,0.3,48.2,100,2.1,1.16,FALSE
1987,5,22,5/22/1987,20.65,32.75,8.2,46.8,100,1.9,1.13,FALSE
1987,5,23,5/23/1987,21.05,30.35,6.7,50.7,100,2.2,0.93,FALSE
1987,5,24,5/24/1987,19.55,30.05,6.8,50.9,100,3.6,0.83,FALSE
1987,5,25,5/25/1987,18.45,29.55,1.8,49.9,100,3.7,0.81,FALSE
1987,5,26,5/26/1987,16.65,31.55,1,48.7,100,3.7,0.95,FALSE
1987,5,27,5/27/1987,16.65,31.35,0,45.1,100,4.2,0.89,FALSE
1987,5,28,5/28/1987,18.15,31.55,0,45.3,100,4.3,1,FALSE
1987,5,29,5/29/1987,18.25,31.25,0.4,47.8,100,3,0.94,FALSE
1987,5,30,5/30/1987,19.85,30.75,0.6,50.8,100,1.6,0.86,FALSE
1987,5,31,5/31/1987,21.25,32.15,0,47.3,100,2.3,1.15,FALSE
1987,6,1,6/1/1987,21.15,33.25,0,46.5,100,3.1,1.22,FALSE
1987,6,2,6/2/1987,21.95,33.65,0,48.3,100,2.7,1.25,FALSE
1987,6,3,6/3/1987,22.35,32.65,6.1,48.4,100,1.5,1.04,FALSE
1987,6,4,6/4/1987,17.55,30.25,0.3,45.2,100,4.6,0.92,FALSE
1987,6,5,6/5/1987,14.05,30.45,0,40,100,3.9,1.22,FALSE
1987,6,6,6/6/1987,12.75,31.75,0,43.9,95,2.9,1.17,FALSE
1987,6,7,6/7/1987,18.85,32.35,0,42,95.3,3.1,1.33,FALSE
1987,6,8,6/8/1987,17.45,32.35,0,41.3,97.4,2.6,1.25,FALSE
1987,6,9,6/9/1987,20.05,33.45,0,40,100,2.7,1.41,FALSE
1987,6,10,6/10/1987,19.25,31.55,3.6,41.2,100,3.2,1.17,FALSE
1987,6,11,6/11/1987,17.75,30.15,4.3,45.4,100,3.1,0.8,FALSE
1987,6,12,6/12/1987,19.85,28.75,28,61.1,100,2.7,0.6,FALSE
1987,6,13,6/13/1987,17.85,28.65,9.1,61.7,100,2.2,0.57,FALSE
1987,6,14,6/14/1987,19.35,30.55,7.6,56.1,100,1.1,0.79,FALSE
1987,6,15,6/15/1987,21.25,31.15,5.3,49.7,100,1.3,1.07,FALSE
1987,6,16,6/16/1987,21.05,30.35,0,50.1,97.3,1.2,0.86,FALSE
1987,6,17,6/17/1987,20.95,31.05,5.5,54.7,100,1.7,0.86,FALSE
1987,6,18,6/18/1987,21.05,30.25,15.4,54.9,100,2.6,0.85,FALSE
1987,6,19,6/19/1987,20.45,30.05,29,57.4,100,3.4,0.71,FALSE
1987,6,20,6/20/1987,20.75,33.45,1.3,51.6,100,4.1,1.04,FALSE
1987,6,21,6/21/1987,21.35,32.45,1.6,50,100,3.9,0.97,FALSE
1987,6,22,6/22/1987,20.85,33.65,0,53,100,2.5,1,FALSE
1987,6,23,6/23/1987,23.05,34.55,1.5,52.9,100,1.8,1.18,FALSE
1987,6,24,6/24/1987,23.35,34.15,3,47.8,100,1.8,1.27,FALSE
1987,6,25,6/25/1987,22.95,31.65,0.7,49.5,100,1.3,0.88,FALSE
1987,6,26,6/26/1987,22.35,30.25,0,58.1,100,2.8,0.84,FALSE
1987,6,27,6/27/1987,17.65,31.95,0,37.5,99.5,2.8,1.38,FALSE
1987,6,28,6/28/1987,16.35,33.35,0,40.9,94.3,2,1.48,FALSE
1987,6,29,6/29/1987,16.85,32.65,1.7,41.6,95.7,3.3,1.13,FALSE
1987,6,30,6/30/1987,19.95,30.95,7.8,47.2,100,3.9,0.76,FALSE
1987,7,1,7/1/1987,19.65,30.15,2.9,55.7,100,4.2,0.69,FALSE
1987,7,2,7/2/1987,19.45,32.75,2.3,56.2,100,3.3,0.87,FALSE
1987,7,3,7/3/1987,21.05,33.65,3.3,53.8,100,3.9,0.95,FALSE
1987,7,4,7/4/1987,21.45,34.15,2.4,54.8,100,4.4,0.9,FALSE
1987,7,5,7/5/1987,22.35,34.25,0,54.5,100,4.2,0.95,FALSE
1987,7,6,7/6/1987,20.65,33.35,18.2,51,100,3.9,0.96,FALSE
1987,7,7,7/7/1987,19.75,30.75,6.3,55.1,100,3.2,0.67,FALSE
1987,7,8,7/8/1987,20.45,31.75,5.1,58.5,100,2.5,0.78,FALSE
1987,7,9,7/9/1987,21.35,31.95,0.4,57.5,100,2.5,0.8,FALSE
1987,7,10,7/10/1987,21.45,34.45,0,48.5,100,2.8,1.13,FALSE
1987,7,11,7/11/1987,21.75,34.95,0,47.2,100,2.6,1.2,FALSE
1987,7,12,7/12/1987,22.75,35.05,0,46.6,100,3.1,1.28,FALSE
1987,7,13,7/13/1987,20.65,33.65,3,48.2,100,2.7,0.89,FALSE
1987,7,14,7/14/1987,23.05,30.95,0.9,52.8,100,1.8,0.92,FALSE
1987,7,15,7/15/1987,21.35,31.85,0,43,100,1,1.34,FALSE
1987,7,16,7/16/1987,16.75,34.05,0,41.3,100,1.9,1.32,FALSE
1987,7,17,7/17/1987,21.55,33.35,1.8,42.4,98.6,2.6,1.16,FALSE
1987,7,18,7/18/1987,21.95,33.75,1.6,45.5,100,2.4,1.37,FALSE
1987,7,19,7/19/1987,20.95,32.45,5,46.2,100,2.1,1.06,FALSE
1987,7,20,7/20/1987,21.35,33.65,1.4,45.8,100,2,1.32,FALSE
1987,7,21,7/21/1987,21.65,31.55,8.7,46.6,100,2.1,0.89,FALSE
1987,7,22,7/22/1987,20.65,30.35,6.5,55.4,100,2.7,0.7,FALSE
1987,7,23,7/23/1987,20.85,31.55,1.3,60.3,100,2.4,0.72,FALSE
1987,7,24,7/24/1987,21.95,34.55,0.5,42.4,100,1.7,1.4,FALSE
1987,7,25,7/25/1987,20.85,35.15,0.5,41.9,100,0.9,1.52,FALSE
1987,7,26,7/26/1987,19.95,35.65,0,36.9,100,0.8,1.62,FALSE
1987,7,27,7/27/1987,19.75,34.95,0,38.4,100,2.2,1.3,FALSE
1987,7,28,7/28/1987,22.85,34.55,0,46.8,100,2.2,1.11,FALSE
1987,7,29,7/29/1987,24.65,35.45,0.5,51.4,100,1.1,1.34,FALSE
1987,7,30,7/30/1987,23.75,35.05,0,49.5,100,1.4,1.23,FALSE
1987,7,31,7/31/1987,24.65,33.25,0,51.4,100,2.6,1.02,FALSE
1987,8,1,8/1/1987,24.55,34.05,0,56.9,100,2.3,1.07,FALSE
1987,8,2,8/2/1987,25.15,34.15,0,56.4,100,1.9,1.11,FALSE
1987,8,3,8/3/1987,24.55,34.55,1.9,54.6,100,2.1,1.16,FALSE
1987,8,4,8/4/1987,24.15,33.35,2.1,54.3,100,2.4,0.97,FALSE
1987,8,5,8/5/1987,23.65,34.45,2.6,55.9,100,2.5,1.12,FALSE
1987,8,6,8/6/1987,22.65,33.85,0,52.1,100,2.2,0.98,FALSE
1987,8,7,8/7/1987,23.75,33.75,0,54.6,100,2.5,1.06,FALSE
1987,8,8,8/8/1987,22.95,33.55,0,56.3,100,3.4,0.96,FALSE
1987,8,9,8/9/1987,23.45,34.25,0,53,100,3.2,1.13,FALSE
1987,8,10,8/10/1987,21.95,32.25,29,53.2,100,3.3,0.9,FALSE
1987,8,11,8/11/1987,19.55,30.95,8.4,56.8,100,2,0.63,FALSE
1987,8,12,8/12/1987,23.05,32.45,9,60.4,100,1.3,0.81,FALSE
1987,8,13,8/13/1987,23.75,32.45,4.8,59.5,100,1.8,0.82,FALSE
1987,8,14,8/14/1987,23.75,33.45,1.7,55.4,100,1.5,0.99,FALSE
1987,8,15,8/15/1987,23.75,32.85,0.7,55,100,2.5,0.93,FALSE
1987,8,16,8/16/1987,23.65,34.05,0,53.7,100,2.9,1.06,FALSE
1987,8,17,8/17/1987,22.75,35.45,0,51,100,3.2,1.18,FALSE
1987,8,18,8/18/1987,22.65,33.65,7.1,51.7,100,2.4,1,FALSE
1987,8,19,8/19/1987,22.35,34.85,0,47.4,100,2,1.37,FALSE
1987,8,20,8/20/1987,20.65,35.65,0,46.3,97.8,1.3,1.42,FALSE
1987,8,21,8/21/1987,21.55,35.85,0,45.1,99.7,2.2,1.48,FALSE
1987,8,22,8/22/1987,21.95,35.55,0,44.1,97,1.6,1.45,FALSE
1987,8,23,8/23/1987,24.15,35.55,0,45.9,95.9,2,1.48,FALSE
1987,8,24,8/24/1987,23.15,35.05,0,43.6,100,1.4,1.37,FALSE
1987,8,25,8/25/1987,23.45,35.35,0,36,95.4,3,1.66,FALSE
1987,8,26,8/26/1987,21.85,33.85,0.3,38.9,100,3.8,1.08,FALSE
1987,8,27,8/27/1987,21.55,32.15,4.1,51.4,100,3.3,0.91,FALSE
1987,8,28,8/28/1987,19.25,32.85,0,50.4,100,2.8,1.01,FALSE
1987,8,29,8/29/1987,19.65,31.75,0,46.4,100,2.4,1.11,FALSE
1987,8,30,8/30/1987,18.35,30.95,0,44.2,97.5,1.8,1.09,FALSE
1987,8,31,8/31/1987,17.65,27.95,0,48.5,98,1.7,0.72,FALSE
1987,9,1,9/1/1987,16.95,31.85,0,41.4,100,2.8,1.33,FALSE
1987,9,2,9/2/1987,12.95,31.15,0,32,92.1,2.4,1.48,FALSE
1987,9,3,9/3/1987,13.25,32.55,0,33.2,84.1,2.3,1.64,FALSE
1987,9,4,9/4/1987,14.45,33.55,0,37,87.1,2.6,1.6,FALSE
1987,9,5,9/5/1987,15.85,33.35,0,37.1,100,2.9,1.45,FALSE
1987,9,6,9/6/1987,15.15,33.65,0,42.4,100,2.5,1.33,FALSE
1987,9,7,9/7/1987,18.95,32.35,0,42.9,100,1.2,1.18,FALSE
1987,9,8,9/8/1987,20.65,33.15,3.8,40.8,96.8,1.3,1.41,FALSE
1987,9,9,9/9/1987,21.25,30.35,2.3,44.1,100,1.3,0.96,FALSE
1987,9,10,9/10/1987,19.05,33.25,2.7,47.3,100,2.7,1.16,FALSE
1987,9,11,9/11/1987,20.95,29.25,5.5,48.3,100,2.2,0.7,FALSE
1987,9,12,9/12/1987,19.45,31.15,0,52.5,100,2,0.92,FALSE
1987,9,13,9/13/1987,20.15,33.85,0,43.3,100,3.1,1.35,FALSE
1987,9,14,9/14/1987,18.05,34.75,0,43.1,100,2.1,1.43,FALSE
1987,9,15,9/15/1987,20.65,35.15,0,41.4,100,3.6,1.49,FALSE
1987,9,16,9/16/1987,20.35,31.95,17.6,42.2,100,4.8,0.93,FALSE
1987,9,17,9/17/1987,19.65,34.15,3.9,45.7,100,3.5,1.18,FALSE
1987,9,18,9/18/1987,19.65,30.35,23.4,46.7,100,2.7,0.55,FALSE
1987,9,19,9/19/1987,20.35,29.45,3.1,48.7,100,2.3,0.84,FALSE
1987,9,20,9/20/1987,15.05,29.65,0,29.7,100,1.8,1.42,FALSE
1987,9,21,9/21/1987,12.45,30.75,0,31.8,88.8,1.2,1.45,FALSE
1987,9,22,9/22/1987,12.65,28.05,0,32.1,100,3.4,1.17,FALSE
1987,9,23,9/23/1987,8.85,25.35,0,34.8,100,2.6,0.87,FALSE
1987,9,24,9/24/1987,15.15,26.75,0,37.6,91.2,1,1.18,FALSE
1987,9,25,9/25/1987,13.25,28.35,0,35.9,92.8,1.5,1.23,FALSE
1987,9,26,9/26/1987,15.25,27.65,0,37.7,91.7,2.2,1.1,FALSE
1987,9,27,9/27/1987,16.25,30.25,0,42.7,94.5,2.9,1.22,FALSE
1987,9,28,9/28/1987,18.95,32.05,0,43.6,99.4,3.2,1.31,FALSE
1987,9,29,9/29/1987,18.05,31.35,0,42.2,100,3.3,1.19,FALSE
1987,9,30,9/30/1987,10.25,27.55,0,29.3,100,4.7,1.25,FALSE
1987,10,1,10/1/1987,8.65,29.15,0,27.5,92.4,2,1.49,FALSE
1987,10,2,10/2/1987,8.95,31.75,0,24.1,94.3,4,1.77,FALSE
1987,10,3,10/3/1987,5.05,19.85,0,22.6,84.6,5.4,0.93,FALSE
1987,10,4,10/4/1987,1.45,22.65,0,27,86.5,1.9,1.05,FALSE
1987,10,5,10/5/1987,3.75,27.15,0,24.3,83.1,2.9,1.38,FALSE
1987,10,6,10/6/1987,7.45,26.45,0,17.4,100,4.3,1.42,FALSE
1987,10,7,10/7/1987,3.05,25.85,0,17,80.9,3.7,1.4,FALSE
1987,10,8,10/8/1987,4.05,25.25,0,21.5,74.3,3,1.31,FALSE
1987,10,9,10/9/1987,5.75,29.65,0,24.4,90.1,3.7,1.6,FALSE
1987,10,10,10/10/1987,8.85,29.45,0,27.9,85,2.5,1.5,FALSE
1987,10,11,10/11/1987,8.65,27.45,0,28.2,92.1,4,1.26,FALSE
1987,10,12,10/12/1987,5.85,20.45,0,24,82,4.7,0.88,FALSE
1987,10,13,10/13/1987,-0.35,22.25,0,26.1,89.4,3.2,1.01,FALSE
1987,10,14,10/14/1987,3.15,25.25,0,28.7,82,3,1.19,FALSE
1987,10,15,10/15/1987,4.35,26.15,0,25.1,92.1,2.9,1.28,FALSE
1987,10,16,10/16/1987,5.35,28.45,0,22.6,88.6,2,1.51,FALSE
1987,10,17,10/17/1987,10.35,29.35,0,24.5,73.6,1.6,1.44,FALSE
1987,10,18,10/18/1987,17.65,28.65,0.6,34.1,74.7,2,1.34,FALSE
1987,10,19,10/19/1987,17.35,28.45,1.5,40.5,100,2.6,1.21,FALSE
1987,10,20,10/20/1987,13.55,26.15,1.3,40.6,92.3,4,0.88,FALSE
1987,10,21,10/21/1987,3.65,18.25,0,17.3,100,4.7,0.84,FALSE
1987,10,22,10/22/1987,0.35,21.75,0,20.2,75.6,3.4,1.09,FALSE
1987,10,23,10/23/1987,6.85,22.85,0,23.3,73.7,2.6,1.06,FALSE
1987,10,24,10/24/1987,12.15,19.45,4.3,28.5,96.6,3.1,0.43,FALSE
1987,10,25,10/25/1987,14.45,24.85,2.4,54.9,100,2.1,0.73,FALSE
1987,10,26,10/26/1987,15.45,25.45,11.1,52.9,100,3.3,0.73,FALSE
1987,10,27,10/27/1987,8.35,21.95,0,23.5,100,5,0.79,FALSE
1987,10,28,10/28/1987,2.95,20.75,0,19.9,86.4,2.4,0.98,FALSE
1987,10,29,10/29/1987,2.65,25.75,0,24,86.8,4.1,1.24,FALSE
1987,10,30,10/30/1987,5.65,27.45,0,30,99.2,3.7,1.15,FALSE
1987,10,31,10/31/1987,8.45,27.45,0,31.7,98.7,2.9,1.16,FALSE
1987,11,1,11/1/1987,10.35,28.05,0,26.4,79.8,2.1,1.49,FALSE
1987,11,2,11/2/1987,10.65,29.05,0,27.5,72.3,2.4,1.61,FALSE
1987,11,3,11/3/1987,11.95,28.95,0,29.2,76.6,2.3,1.45,FALSE
1987,11,4,11/4/1987,12.95,29.65,0,30.9,84.4,2.2,1.56,FALSE
1987,11,5,11/5/1987,6.85,25.05,0,14.4,91.2,5.7,1.31,FALSE
1987,11,6,11/6/1987,-1.85,21.45,0,10.3,71.6,3.5,1.18,FALSE
1987,11,7,11/7/1987,1.65,25.15,0,15,63.3,3.7,1.23,FALSE
1987,11,8,11/8/1987,13.25,28.15,21.5,32.5,96.7,4.9,1.08,FALSE
1987,11,9,11/9/1987,15.25,23.15,30.7,41.8,100,3.3,0.58,FALSE
1987,11,10,11/10/1987,2.25,16.55,0.5,40.9,100,6.8,0.52,FALSE
1987,11,11,11/11/1987,-3.65,11.15,0,32,95.7,3.4,0.42,FALSE
1987,11,12,11/12/1987,-2.65,15.35,0,30.5,88.9,1,0.62,FALSE
1987,11,13,11/13/1987,-1.55,18.05,0,29,85.4,2.5,0.73,FALSE
1987,11,14,11/14/1987,2.45,20.55,0,32.4,87.2,3.7,0.58,FALSE
1987,11,15,11/15/1987,12.25,25.35,24.9,51.7,97.3,7.5,0.82,FALSE
1987,11,16,11/16/1987,14.95,23.65,114.5,49.5,100,8.3,0.53,FALSE
1987,11,17,11/17/1987,8.75,18.25,2.6,37.4,100,2.9,0.55,FALSE
1987,11,18,11/18/1987,3.25,17.85,0,36.6,86.9,3.3,0.62,FALSE
1987,11,19,11/19/1987,4.35,15.25,0,35.5,87.8,3.3,0.5,FALSE
1987,11,20,11/20/1987,0.05,14.45,0,28.4,96,3.9,0.55,FALSE
1987,11,21,11/21/1987,-1.75,13.45,0,24.2,84.5,2.8,0.59,FALSE
1987,11,22,11/22/1987,-1.85,19.85,0,31.7,83.8,4.7,0.63,FALSE
1987,11,23,11/23/1987,9.15,23.95,0,52.5,98.4,4.7,0.69,FALSE
1987,11,24,11/24/1987,13.65,25.45,0,51.8,97.4,5.3,0.77,FALSE
1987,11,25,11/25/1987,13.45,23.65,4.8,51.1,100,4.6,0.65,FALSE
1987,11,26,11/26/1987,13.25,20.65,1.4,53.7,100,1.9,0.48,FALSE
1987,11,27,11/27/1987,10.55,17.85,26.8,58.3,100,2.1,0.29,FALSE
1987,11,28,11/28/1987,7.35,12.75,16.1,45.3,100,4,0.4,FALSE
1987,11,29,11/29/1987,4.75,14.55,0,42.9,89.6,3.2,0.5,FALSE
1987,11,30,11/30/1987,6.45,14.85,0,41.2,94.2,3.1,0.51,FALSE
1987,12,1,12/1/1987,5.35,13.75,0,39,82.1,2.5,0.53,FALSE
1987,12,2,12/2/1987,0.25,15.45,0,40.9,80.5,2.3,0.57,FALSE
1987,12,3,12/3/1987,1.95,22.75,0,46.6,88.6,4.8,0.76,FALSE
1987,12,4,12/4/1987,3.45,15.45,0,29.4,88.8,3.6,0.61,FALSE
1987,12,5,12/5/1987,-0.15,13.15,0,34.6,80.7,2.9,0.49,FALSE
1987,12,6,12/6/1987,4.75,19.95,0.5,47.5,81.7,5.5,0.56,FALSE
1987,12,7,12/7/1987,13.05,17.95,0.9,58.2,88.7,5.3,0.46,FALSE
1987,12,8,12/8/1987,12.85,23.65,0,53.6,91.7,3.7,0.76,FALSE
1987,12,9,12/9/1987,10.05,20.65,0,37.6,91.2,2.5,0.75,FALSE
1987,12,10,12/10/1987,4.25,19.05,0,33.1,85.4,2.3,0.75,FALSE
1987,12,11,12/11/1987,4.85,24.35,0,42.3,90.1,3.6,0.83,FALSE
1987,12,12,12/12/1987,7.55,19.05,0,23.5,90.4,3.7,0.84,FALSE
1987,12,13,12/13/1987,4.45,17.35,0,28.4,73.4,4.5,0.73,FALSE
1987,12,14,12/14/1987,8.55,26.95,5.3,41.1,91.3,6.6,0.86,FALSE
1987,12,15,12/15/1987,-0.05,16.45,3.2,40.8,100,6.1,0.69,FALSE
1987,12,16,12/16/1987,-2.95,7.35,0,30.2,86.7,3.8,0.39,FALSE
1987,12,17,12/17/1987,-2.65,8.65,0,32.7,69.8,2.4,0.45,FALSE
1987,12,18,12/18/1987,-1.55,4.45,4.8,33.6,84,2.9,0.25,FALSE
1987,12,19,12/19/1987,1.55,17.75,17.6,68.6,90.1,6.7,0.22,FALSE
1987,12,20,12/20/1987,11.35,20.35,2.7,49.7,100,3.5,0.67,FALSE
1987,12,21,12/21/1987,6.75,12.85,6.1,50.6,97.9,2.4,0.32,FALSE
1987,12,22,12/22/1987,3.65,17.75,0,57.6,92.6,2.2,0.49,FALSE
1987,12,23,12/23/1987,4.75,22.35,0,49.8,89.3,4.4,0.69,FALSE
1987,12,24,12/24/1987,13.35,27.35,0,56.5,93.6,6.9,0.78,FALSE
1987,12,25,12/25/1987,18.15,27.65,8.6,58.4,100,6.3,0.94,FALSE
1987,12,26,12/26/1987,10.35,19.25,42.3,57.3,100,2.7,0.47,FALSE
1987,12,27,12/27/1987,9.65,17.15,14.3,75.3,100,2.6,0.33,FALSE
1987,12,28,12/28/1987,1.55,11.45,0.4,40.3,99,5.8,0.36,FALSE
1987,12,29,12/29/1987,-0.25,8.45,0,43.5,86,4.1,0,FALSE
1987,12,30,12/30/1987,-1.45,12.75,0.8,49.2,88.6,3.8,0.37,FALSE
1987,12,31,12/31/1987,6.45,15.35,13.5,52.9,100,5.9,0.2,FALSE
1988,1,1,1/1/1988,2.05,13.95,6.8,58.4,100,5.9,0.41,FALSE
1988,1,2,1/2/1988,-1.35,8.65,1.7,40.8,82.1,5.1,0.37,FALSE
1988,1,3,1/3/1988,0.05,6.85,2.6,41.2,93.4,2.2,0.24,FALSE
1988,1,4,1/4/1988,0.95,8.55,0,43.8,88.1,3.9,0.35,FALSE
1988,1,5,1/5/1988,-2.95,3.75,0,33.8,82.4,4.7,0.32,FALSE
1988,1,6,1/6/1988,-3.05,1.35,5.2,25.8,67.7,6.2,0.28,FALSE
1988,1,7,1/7/1988,-4.75,0.75,11.4,53.9,99.3,3.9,0.15,FALSE
1988,1,8,1/8/1988,-5.15,1.85,0,41.3,90.3,3.7,0.24,FALSE
1988,1,9,1/9/1988,-5.45,3.15,0,44.3,81.1,3.2,0.25,FALSE
1988,1,10,1/10/1988,-5.65,3.95,3.1,36,82.6,3.4,0.29,FALSE
1988,1,11,1/11/1988,-5.85,8.55,0,37.6,81.9,2.6,0.4,FALSE
1988,1,12,1/12/1988,-3.05,16.55,5,44.3,88.8,4.7,0.36,FALSE
1988,1,13,1/13/1988,-2.85,10.15,4.8,38.1,100,5.5,0.44,FALSE
1988,1,14,1/14/1988,-3.95,6.45,0,30.6,78.6,3.1,0.39,FALSE
1988,1,15,1/15/1988,-4.15,11.35,0,34.7,73.7,2.6,0.5,FALSE
1988,1,16,1/16/1988,-1.65,15.15,1,37.5,83.6,6.1,0.35,FALSE
1988,1,17,1/17/1988,8.95,21.75,1,63.1,92.6,4.5,0.6,FALSE
1988,1,18,1/18/1988,10.15,23.55,2.2,62.2,94.3,3.2,0.61,FALSE
1988,1,19,1/19/1988,12.05,23.85,14.3,51.7,100,6.6,0.64,FALSE
1988,1,20,1/20/1988,3.65,13.45,0,37.1,89.4,4.2,0.47,FALSE
1988,1,21,1/21/1988,0.35,7.85,0,41,88,3.4,0.34,FALSE
1988,1,22,1/22/1988,0.85,10.25,0,34.9,76.7,2.7,0.5,FALSE
1988,1,23,1/23/1988,-2.65,13.55,0,29.3,82.6,4.3,0.56,FALSE
1988,1,24,1/24/1988,-0.75,11.35,0,30.5,86.2,3.8,0.34,FALSE
1988,1,25,1/25/1988,-2.95,9.05,0,33.3,89.8,5.2,0.42,FALSE
1988,1,26,1/26/1988,-3.75,7.15,0,24,73.1,2,0.43,FALSE
1988,1,27,1/27/1988,-4.05,11.35,0,29.1,72.1,2.5,0.53,FALSE
1988,1,28,1/28/1988,-2.25,16.55,0,29.4,82.2,3.8,0.69,FALSE
1988,1,29,1/29/1988,-0.95,20.25,0,35.3,89.5,4.8,0.71,FALSE
1988,1,30,1/30/1988,4.85,21.95,0.4,40.2,92.3,6,0.71,FALSE
1988,1,31,1/31/1988,10.35,23.55,0.5,45.9,91.7,5.9,0.7,FALSE
1988,2,1,2/1/1988,12.85,21.55,9.2,54.9,100,4.9,0.57,FALSE
1988,2,2,2/2/1988,12.35,22.05,6.7,63.4,100,2.8,0.58,FALSE
1988,2,3,2/3/1988,9.45,19.45,2.7,59,100,1.1,0.43,FALSE
1988,2,4,2/4/1988,2.45,15.95,0.5,45.6,92.4,6.5,0.5,FALSE
1988,2,5,2/5/1988,-1.05,5.25,0,37.8,77.4,7,0.34,FALSE
1988,2,6,2/6/1988,-6.15,1.35,0,24.9,57.5,5.2,0.32,FALSE
1988,2,7,2/7/1988,-6.25,4.95,0,19.9,60.7,2,0.39,FALSE
1988,2,8,2/8/1988,-2.05,8.25,0,30.9,69.2,0.7,0.37,FALSE
1988,2,9,2/9/1988,1.55,11.75,0,42.1,80.7,2,0.45,FALSE
1988,2,10,2/10/1988,2.25,14.85,0.6,36.3,77,2.5,0.53,FALSE
1988,2,11,2/11/1988,-3.65,10.45,8.8,40.7,93.6,4.8,0.24,FALSE
1988,2,12,2/12/1988,-5.05,6.95,0,30.7,73.3,3.4,0.39,FALSE
1988,2,13,2/13/1988,-3.45,15.95,1.6,38,87.9,3.4,0.53,FALSE
1988,2,14,2/14/1988,2.65,23.15,22.2,45.8,92.4,7.7,0.75,FALSE
1988,2,15,2/15/1988,2.25,12.85,6.1,44.5,100,4.7,0.43,FALSE
1988,2,16,2/16/1988,-2.05,15.45,0,33.6,83.4,3.2,0.6,FALSE
1988,2,17,2/17/1988,0.55,11.75,2.7,33.6,87.8,3.6,0.23,FALSE
1988,2,18,2/18/1988,7.25,13.05,35.7,65.8,100,5.2,0.3,FALSE
1988,2,19,2/19/1988,5.65,18.25,0.7,50.1,100,3.2,0.53,FALSE
1988,2,20,2/20/1988,4.45,15.45,0,30,89.4,2.5,0.6,FALSE
1988,2,21,2/21/1988,0.75,15.95,0,34.3,86.1,2.5,0.59,FALSE
1988,2,22,2/22/1988,2.05,22.15,1.3,35.7,88.9,7.3,0.79,FALSE
1988,2,23,2/23/1988,6.85,19.85,0,36.5,92.8,4.5,0.64,FALSE
1988,2,24,2/24/1988,-0.45,12.95,0,24.4,87.9,3.2,0.56,FALSE
1988,2,25,2/25/1988,-0.45,17.55,0,26.2,72.2,1.8,0.79,FALSE
1988,2,26,2/26/1988,0.75,20.75,0.5,27.5,76.6,2.6,0.88,FALSE
1988,2,27,2/27/1988,4.25,22.35,0.5,33.4,88.4,3.3,0.75,FALSE
1988,2,28,2/28/1988,7.45,23.65,0,39.3,88.5,2.1,0.93,FALSE
1988,2,29,2/29/1988,10.85,22.75,0,35.6,82.1,3,0.99,FALSE
